Progress=100.0, SNR=4.00, Bit Errors= 0, BER=0.000000E+000, Frame Errors= 0, FER=0.000000E+000, channelError_count=5.00, successError_count=5.00
Progress=100.0, SNR=5.00, Bit Errors= 0, BER=0.000000E+000, Frame Errors= 0, FER=0.000000E+000, channelError_count=3.00, successError_count=3.00
Progress=100.0, SNR=6.00, Bit Errors= 0, BER=0.000000E+000, Frame Errors= 0, FER=0.000000E+000, channelError_count=1.00, successError_count=1.00
Progress=100.0, SNR=2.00, Bit Errors=18, BER=7.031250E-002, Frame Errors= 1, FER=1.000000E+000, channelError_count=18.00, successError_count=0.00
Progress=100.0, SNR=3.00, Bit Errors= 7, BER=2.734375E-002, Frame Errors= 1, FER=1.000000E+000, channelError_count=7.00, successError_count=0.00
Progress=100.0, SNR=4.00, Bit Errors= 0, BER=0.000000E+000, Frame Errors= 0, FER=0.000000E+000, channelError_count=5.00, successError_count=5.00
Progress=100.0, SNR=5.00, Bit Errors= 0, BER=0.000000E+000, Frame Errors= 0, FER=0.000000E+000, channelError_count=3.00, successError_count=3.00
Progress=100.0, SNR=6.00, Bit Errors= 0, BER=0.000000E+000, Frame Errors= 0, FER=0.000000E+000, channelError_count=1.00, successError_count=1.00
Progress=8.6, SNR=5.00, Bit Errors=976, BER=4.422854E-003, Frame Errors=131, FER=1.519722E-001, channelError_count=4.03, successError_count=3.45
Progress=1.3, SNR=2.00, Bit Errors=2063, BER=6.151598E-002, Frame Errors=131, FER=1.000000E+000, channelError_count=14.47, successError_count=0.00
Progress=1.4, SNR=3.00, Bit Errors=1522, BER=4.308197E-002, Frame Errors=131, FER=9.492754E-001, channelError_count=10.54, successError_count=5.43
Progress=2.2, SNR=4.00, Bit Errors=1108, BER=1.949606E-002, Frame Errors=131, FER=5.900901E-001, channelError_count=6.70, successError_count=4.55
Progress=9.7, SNR=5.00, Bit Errors=953, BER=3.837790E-003, Frame Errors=131, FER=1.350515E-001, channelError_count=3.96, successError_count=3.48
Progress=0.1, SNR=2.00, Bit Errors=2063, BER=6.151598E-002, Frame Errors=131, FER=1.000000E+000, channelError_count=14.47, successError_count=0.00
Progress=0.1, SNR=3.00, Bit Errors=1522, BER=4.308197E-002, Frame Errors=131, FER=9.492754E-001, channelError_count=10.54, successError_count=5.43
Progress=0.2, SNR=4.00, Bit Errors=1108, BER=1.949606E-002, Frame Errors=131, FER=5.900901E-001, channelError_count=6.70, successError_count=4.55
Progress=1.0, SNR=5.00, Bit Errors=953, BER=3.837790E-003, Frame Errors=131, FER=1.350515E-001, channelError_count=3.96, successError_count=3.48
Progress=22.2, SNR=6.00, Bit Errors=892, BER=1.569256E-004, Frame Errors=131, FER=5.899838E-003, channelError_count=1.98, successError_count=1.95
Progress=8.6, SNR=5.00, Bit Errors=976, BER=4.422854E-003, Frame Errors=131, FER=1.519722E-001, channelError_count=4.03, successError_count=3.45
Progress=8.6, SNR=5.00, Bit Errors=976, BER=4.422854E-003, Frame Errors=131, FER=1.519722E-001, channelError_count=4.03, successError_count=3.45
Progress=8.6, SNR=5.00, Bit Errors=976, BER=4.422854E-003, Frame Errors=131, FER=1.519722E-001, channelError_count=4.03, successError_count=3.45
Progress=8.6, SNR=5.00, Bit Errors=976, BER=4.422854E-003, Frame Errors=131, FER=1.519722E-001, channelError_count=4.03, successError_count=3.45
Progress=8.6, SNR=5.00, Bit Errors=976, BER=4.422854E-003, Frame Errors=131, FER=1.519722E-001, channelError_count=4.03, successError_count=3.45
Progress=8.6, SNR=5.00, Bit Errors=976, BER=4.422854E-003, Frame Errors=131, FER=1.519722E-001, channelError_count=4.03, successError_count=3.45
Progress=1.3, SNR=2.00, Bit Errors=2063, BER=6.151598E-002, Frame Errors=131, FER=1.000000E+000, channelError_count=14.47, successError_count=0.00
Progress=1.4, SNR=3.00, Bit Errors=1522, BER=4.308197E-002, Frame Errors=131, FER=9.492754E-001, channelError_count=10.54, successError_count=5.43
Progress=2.2, SNR=4.00, Bit Errors=1108, BER=1.949606E-002, Frame Errors=131, FER=5.900901E-001, channelError_count=6.70, successError_count=4.55
Progress=9.7, SNR=5.00, Bit Errors=953, BER=3.837790E-003, Frame Errors=131, FER=1.350515E-001, channelError_count=3.96, successError_count=3.48
Progress=9.9, SNR=5.00, Bit Errors=987, BER=3.910212E-003, Frame Errors=131, FER=1.328600E-001, channelError_count=4.04, successError_count=3.54
Progress=8.6, SNR=5.00, Bit Errors=976, BER=4.422854E-003, Frame Errors=131, FER=1.519722E-001, channelError_count=4.03, successError_count=3.45
